,Cosine_sim,Gene
0,0.9984475374221802,EZH2
1,0.9972631931304932,EZH2
2,0.9963645935058594,EZH2
3,0.9946140050888062,EZH2
4,0.9962540864944458,EZH2
5,0.9956117868423462,EZH2
6,0.9983642101287842,EZH2
7,0.9998589754104614,EZH2
8,0.9999226331710815,EZH2
9,0.9998555779457092,EZH2
10,0.999864935874939,EZH2
11,0.9999254941940308,EZH2
12,0.9999255537986755,EZH2
13,0.9993399381637573,EZH2
14,0.999894917011261,EZH2
15,0.9998778104782104,EZH2
16,0.9998596906661987,EZH2
17,0.9997950792312622,EZH2
18,0.9999265670776367,EZH2
19,0.999896764755249,EZH2
20,0.9998956918716431,EZH2
21,0.9999416470527649,EZH2
22,0.9999516010284424,EZH2
23,0.9998219609260559,EZH2
24,0.9998844861984253,EZH2
25,0.9999501705169678,EZH2
26,0.9999316930770874,EZH2
27,0.9999277591705322,EZH2
28,0.9999158978462219,EZH2
29,0.9998915195465088,EZH2
30,0.9999051690101624,EZH2
31,0.9999033212661743,EZH2
32,0.999923586845398,EZH2
33,0.9999373555183411,EZH2
34,0.9999256730079651,EZH2
35,0.9998870491981506,EZH2
36,0.9999330639839172,EZH2
37,0.9999268054962158,EZH2
38,0.9999035596847534,EZH2
39,0.9999111294746399,EZH2
40,0.9999284148216248,EZH2
41,0.9999231696128845,EZH2
42,0.9998971223831177,EZH2
43,0.9999333024024963,EZH2
44,0.9999383687973022,EZH2
45,0.999898374080658,EZH2
46,0.9999092817306519,EZH2
47,0.9999521374702454,EZH2
48,0.999915361404419,EZH2
49,0.9999033808708191,EZH2
