Unnamed: 0,Cosine_sim,Gene
0,0.9958736300468444,KLF1
1,0.9991378784179688,KLF1
2,0.9982609748840332,KLF1
3,0.9998831748962402,KLF1
4,0.9999790191650392,KLF1
5,0.9999739527702332,KLF1
6,0.9999295473098756,KLF1
7,0.9999306201934814,KLF1
8,0.9998973608016968,KLF1
9,0.9998682737350464,KLF1
10,0.999874234199524,KLF1
11,0.9999797344207764,KLF1
12,0.9998934268951416,KLF1
13,0.9999510049819946,KLF1
14,0.9999430179595948,KLF1
15,0.9998522400856018,KLF1
16,0.9998709559440612,KLF1
17,0.9999162554740906,KLF1
18,0.9999764561653136,KLF1
19,0.9999505281448364,KLF1
20,0.9999656677246094,KLF1
21,0.9999672174453736,KLF1
22,0.9998380541801452,KLF1
23,0.999971091747284,KLF1
24,0.9999215602874756,KLF1
25,0.9999632835388184,KLF1
26,0.9999362230300904,KLF1
27,0.999977707862854,KLF1
28,0.9999243021011353,KLF1
29,0.999909520149231,KLF1
30,0.9998817443847656,KLF1
31,0.9999604225158693,KLF1
32,0.999963879585266,KLF1
33,0.9999545812606812,KLF1
34,0.9999650120735168,KLF1
35,0.999928891658783,KLF1
36,0.9999532103538512,KLF1
37,0.9998944997787476,KLF1
38,0.9999551773071288,KLF1
39,0.999968409538269,KLF1
40,0.9999459981918336,KLF1
41,0.9999430775642396,KLF1
42,0.9999641180038452,KLF1
43,0.9999663829803468,KLF1
44,0.9999595880508424,KLF1
45,0.999971330165863,KLF1
46,0.9999696016311646,KLF1
47,0.999963641166687,KLF1
48,0.9999514818191528,KLF1
49,0.9999498128890992,KLF1
