Cosine_sim,Group,Gene_ID
0.997083306312561,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9950963258743286,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9963152408599854,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9958200454711914,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9959046244621277,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9982436299324036,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9964028000831604,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9954034090042114,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9948617219924927,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9954169392585754,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.99451744556427,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9986170530319214,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9947229623794556,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9994560480117798,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9998875856399536,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9998983144760132,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9999285340309143,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9996825456619263,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9999140501022339,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.999847412109375,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9999259114265442,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9999287128448486,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9999032616615295,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9998544454574585,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9998209476470947,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9997148513793945,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9998654127120972,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9998840093612671,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.999922513961792,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9998844861984253,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9998229742050171,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9999048113822937,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.999853789806366,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9997165203094482,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9998244047164917,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.999891459941864,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9998263120651245,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.999919056892395,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9998564720153809,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9998676776885986,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9999186992645264,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.99984210729599,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9998843669891357,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9998663663864136,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9998363256454468,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9998929500579834,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9999051094055176,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.999847948551178,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9998770356178284,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
0.9998708963394165,Combo: KLF1+EZH2,"((3119, 3286), 'cell_emb')"
